"","country","v1","v2","v3","v4","v5","v6","v8","v9","v10"
"138",40,3,1,2,3,3,2,1,3,NA
"139",40,2,1,2,2,3,2,NA,NA,1
"140",40,2,1,1,1,3,2,2,2,1
"141",40,2,1,1,1,3,2,2,2,3
"142",40,2,1,1,2,2,1,1,1,3
"143",40,2,1,3,3,1,4,3,3,3
"144",40,2,2,2,2,2,3,1,3,2
"145",40,3,1,1,2,4,2,4,4,1
"146",40,1,1,1,1,3,2,2,3,1
"147",40,1,1,1,2,1,4,2,2,3
"148",40,1,1,2,2,2,2,2,2,2
"149",40,1,1,1,2,2,2,2,2,2
"150",40,2,1,2,2,3,4,2,2,3
"151",40,1,1,1,1,3,4,2,NA,4
"152",40,2,1,2,2,3,3,4,4,1
"153",40,1,3,1,2,1,4,1,1,4
"154",40,1,2,1,2,3,4,1,2,3
"155",40,1,1,1,2,3,2,2,4,2
"156",40,1,1,1,1,1,1,2,1,4
"157",40,2,1,1,3,1,1,3,3,2
"158",40,1,1,1,2,2,2,2,3,2
"159",40,2,1,1,1,3,4,4,4,1
"160",40,2,1,1,2,4,2,3,4,1
"161",40,3,1,2,1,2,2,2,3,3
"162",40,2,1,3,2,2,2,3,2,2
"163",40,1,1,1,1,3,1,1,2,1
"164",40,2,1,2,2,4,1,3,2,1
"165",40,2,1,2,2,3,3,2,2,2
"166",40,1,1,2,2,3,2,4,3,3
"167",40,2,3,1,1,3,4,2,3,3
"168",40,1,1,3,3,2,1,4,4,1
"169",40,1,1,1,1,3,2,1,1,1
"170",40,1,1,3,2,4,1,2,2,2
"171",40,2,1,1,2,1,3,4,4,1
"172",40,1,1,2,2,3,3,2,3,1
"173",40,1,1,2,2,3,2,4,4,1
"174",40,1,1,2,3,4,3,NA,3,2
"175",40,1,1,1,1,3,3,2,3,1
"176",40,1,1,1,1,4,4,4,4,1
"177",40,1,1,2,2,3,3,3,3,2
"178",40,1,1,1,1,2,2,4,4,1
"179",40,1,1,1,1,2,2,4,4,1
"180",40,1,1,1,2,2,1,2,2,1
"181",40,1,1,2,2,3,4,3,3,1
"182",40,1,1,1,1,4,4,4,3,1
"183",40,1,1,1,2,2,1,4,4,1
"184",40,4,1,2,2,3,1,2,2,3
"185",40,3,1,2,2,3,1,3,3,2
"186",40,2,1,2,2,4,2,1,2,3
"187",40,2,1,1,2,3,2,4,4,1
"188",40,1,1,1,1,4,2,2,3,1
"189",40,4,1,2,1,2,3,4,4,3
"190",40,4,1,2,1,2,2,4,3,1
"191",40,1,2,1,2,4,2,4,4,1
"192",40,1,1,1,1,3,3,4,4,1
"193",40,1,1,3,2,2,3,2,2,2
"194",40,2,1,2,2,3,3,2,2,3
"195",40,1,1,2,1,3,2,3,3,1
"196",40,1,2,1,3,3,3,2,2,3
"197",40,1,1,2,2,3,2,3,1,3
"198",40,1,1,2,3,3,2,2,3,3
"199",40,1,1,3,2,1,4,2,2,3
"200",40,2,1,2,3,4,2,3,3,3
"201",40,1,1,2,2,4,3,3,3,3
"202",40,1,1,2,4,1,3,4,4,1
"203",40,2,1,2,NA,3,3,3,3,1
"204",40,1,1,1,2,3,3,2,3,1
"205",40,1,1,2,2,3,4,2,3,2
"206",40,1,1,2,2,3,4,2,3,2
"207",40,1,1,2,2,3,2,2,2,2
"208",40,4,1,1,1,4,4,4,4,1
"209",40,2,2,3,2,4,4,4,4,1
"210",40,1,1,1,1,3,1,2,2,2
"211",40,1,1,1,1,3,2,4,4,1
"212",40,1,1,2,1,2,3,2,2,3
"213",40,1,2,1,1,3,4,3,2,3
"214",40,2,1,3,2,3,4,4,4,1
"215",40,1,1,1,1,2,1,2,2,3
"216",40,1,1,2,3,4,2,4,4,1
"217",40,2,1,2,2,3,3,4,4,1
"218",40,1,1,1,1,2,1,2,2,3
"219",40,1,1,2,2,2,3,4,4,2
"220",40,3,1,3,2,3,2,4,4,1
"221",40,1,1,1,2,3,2,2,2,2
"222",40,1,1,1,2,2,2,2,2,3
"223",40,1,1,2,2,4,2,3,3,2
"224",40,1,1,1,1,2,2,4,4,2
"225",40,1,1,2,2,3,2,2,2,3
"226",40,1,1,2,2,4,2,3,3,2
"227",40,2,1,1,1,4,3,2,2,4
"228",40,1,1,1,1,3,4,3,3,2
"229",40,2,2,1,1,1,4,2,2,4
"230",40,1,2,1,3,3,4,4,4,4
"231",40,1,1,1,1,1,4,1,1,4
"232",40,1,1,2,3,2,1,4,3,NA
"233",40,1,1,2,2,2,2,2,2,3
"234",40,1,1,1,1,4,2,4,4,NA
"235",40,1,1,2,3,3,3,3,3,2
"236",40,1,1,2,2,3,2,3,3,3
"237",40,1,1,2,2,3,2,2,2,NA
"238",40,1,1,2,2,3,1,2,3,2
"239",40,3,2,3,2,2,2,3,3,2
"240",40,2,1,2,2,3,2,2,2,2
"241",40,2,1,2,1,3,3,3,3,2
"242",40,2,1,2,2,3,4,3,2,2
"243",40,1,1,2,2,4,2,2,2,3
"244",40,1,1,1,2,1,2,4,4,1
"245",40,1,1,2,2,2,1,2,2,3
"246",40,2,1,2,2,3,3,2,1,3
"247",40,3,1,2,2,4,3,3,3,1
"248",40,3,1,2,1,3,3,4,4,1
"249",40,1,1,1,1,3,3,2,4,2
"250",40,1,1,3,2,2,3,1,2,4
"251",40,2,1,1,1,2,3,2,2,3
"252",40,2,1,2,2,2,2,2,3,2
"253",40,1,1,2,1,3,1,4,3,2
"254",40,1,1,1,2,2,2,3,2,3
"255",40,1,1,2,2,2,1,1,2,4
"256",40,1,1,2,2,3,2,2,4,4
"257",40,2,1,1,2,2,2,2,2,3
"258",40,1,1,1,1,4,1,2,2,2
